brand_id,name
20468,Abbacino
6297,"Abbaye de Flavigny"
14096,"Abbeville Press"
28071,"Abbi New York"
20098,Abbieannia
14097,"Abbott Nutrition"
12,"Abby Z"
31892,Abbyson
13364,ABC
14098,"ABC Development"
13365,"ABC Valueline"
16946,Abeil
14753,Abella
2339,"Abercrombie & Fitch"
28072,"ABG Accessories"
33956,Abhati
14924,"Abi Alice"
23238,"abi and joseph"
3506,"Abigail LeBay Swimwear"
33221,Abigails
21886,Ability
23692,"Abingdon House"
28902,Abiste
12105,Abkost
21148,"Able Art Company"
30591,Abode
7475,"Abode Aroma"
5732,Abra
16947,"Abracada Bra"
33222,Abrams
4083,"Abrams Books"
14521,Abreva
21814,Abro
5,"ABS by Allen Schwartz"
32030,"ABS by Allen Schwartz Jewelry"
11742,"Absolument Absinthe"
5924,"Absolute Zero Degrees"
16948,Absorba
21714,ABT
664,"Abundance Candles"
20588,ABUS
12106,"Aby Gardner"
4609,Abyss
24603,"Ac Autre Chose"
30962,"Acacia Swimwear"
28073,Academie
4084,"Academie by Philip Crangi"
25816,Academy
16949,Acanthe
18355,ACB
4085,"Acca Kappa"
21770,"accessoire DÉTENTE"
23644,"accessoire DIFFUSION"
30592,"Accessoires De Bonne Compagnie"
29614,Accessories
12107,Accessorize
13,"Accessory Network"
20689,Acceterrier
15877,Accolade
5925,Accoutrements
15878,Acctim
15665,Accurist
30963,"Accutron by Bulova"
21887,"Ace Cafe London"
22853,"Ace Delivery"
13366,"Ace Mart"
33096,Ace&Jig
24604,Acebo's
16950,"Aces Of London"
30384,Ach'e
16951,Achile
4610,"Achille Castiglioni"
23693,Acht
29365,Aclynn
5926,Acme
30857,"ACME Furniture"
19657,Acne
3507,"Acne Jeans"
30846,"Acne Studios"
16952,Aco
28074,Acopa
21888,Acorelle
665,Acorn
15879,"Acoustic Solutions"
14099,"Acqua di Biella"
2693,"Acqua di Parma"
6298,Acquarossa
20362,Acquaverde
666,Acrobat
24605,"Acrobats Of God"
21470,Acronym
14754,Actifirm
5591,"Action Products International"
30964,Activa
23271,Activance
12809,Activate
16953,"Active Wear"
21838,Actuamode
28815,actuel
33957,"Acure Organics"
20690,Acute
29003,"Ad Addenda"
15295,ADA
23401,adabat
21889,Adagio
13367,"Adagio Teas"
32850,Adairs
5303,Adam
667,"Adam + Eve"
14925,"Adam and Harborth"
6299,"ADAM by Adam Lippes"
33766,"ADAM ET ROPÉ"
18612,"Adam et Rope'"
5927,"Adam Frank"
8268,"Adam Kimmel"
23074,"Adam's Boots"
14100,"Adams Media Corp"
30175,Adapt
12063,Adara
33630,Adawas
24606,ADD
668,"Add Down"
29060,Adddress
32698,Adder
21552,Addict
24607,Addict-Initial
30965,"Addicted to T's"
30342,ADDICTION
15880,Addis
29366,"Addition Elle"
33594,Address
21890,ADE
32031,"Adee Kaye"
16954,"Adele Fado"
21891,"Adele Marie"
18125,Adelheid
16955,Adelina
5733,Adelta
32101,"Adelyn Rae"
6281,"Aden Anais"
22470,ADenim
21149,Adeos
29832,"Adha Zelma Jewelry"
29344,ADI
16914,"Adia Kibur"
14,adidas
32930,"Adidas By Raf Simons"
30858,"Adidas By Stella  Mccartney Official"
15400,"adidas by Stella McCartney"
31427,"Adidas Originals x Bedwin & the Heartbreakers"
30301,"Adidas SLVR"
32931,Adieu
20099,"Adieu Tristesse"
20691,Adiew
18020,Adili
2340,Adina
669,"Adina Reyter"
2694,Adio
13368,Adiri
32699,Adirondack
23402,adlife
12108,Admiral
13369,"Admiral Craft"
6300,"ADN Vegetal"
15296,Adolfo
28715,"Adolfo Dominguez"
29724,"Adolfo Sanchez"
21892,Adore
7476,"Adore Moi"
8269,Adored
28880,ADRi
14926,"Adrian and Jeremy Wright"
14927,"Adrian Salamunovic"
15297,"Adriana Llorens"
670,"Adriana Orsini"
15,"Adrianna Papell"
12109,"Adriano & Sons"
12110,"Adriano Fracassi"
11743,"Adriano Goldschmied"
671,"Adrienne Landau"
672,"Adrienne Vittadini"
33223,"Adrienne Wong"
32032,AdTec
14101,ADV
19770,"Advantage cycle"
2341,"Adventure Wear"
12111,Advocate
14102,"Aedes de Venustas"
15881,AEG
8083,"Aei Kei"
16956,Aemkei
23403,aerie
30223,AERIN
4086,Aero
21893,"Aero Nautics"
14103,"Aero Products"
5592,Aerobed
4611,Aerogrow
21894,Aeromatic1912
28075,Aeromax
18126,"Aeronautica Militare"
2342,Aeropostale
673,Aeros
674,Aerosoles
8084,Aesa
11744,Aesop
18356,Aether
18506,Aetrex
20050,"AF House"
14928,"AF Lighting"
14522,AFA
25966,Affection
30966,Affirmats
16957,"Äffle & Pferdle"
675,Affliction
14523,Afirm
21895,AFM
4612,"Afra Bianchin"
12112,"Afri Cola"
6301,"Africa's Best"
32932,"African Botanics"
